Age_Group,Gender,Salary,Education,Employment,Location_by_region,Choco_Consumption,Sustainability_Score
1,2,1,2,3,1,3,1.31389
2,2,3,2,2,1,2,1.58831
2,2,3,2,2,1,3,0.85317
2,1,3,2,1,1,5,1.5976
2,2,5,2,2,1,4,1.10585
1,1,1,1,3,2,1,1.1105
1,2,1,1,3,2,2,-0.10283
1,1,1,1,4,2,1,1.21383
1,2,1,1,4,2,1,0.94406
2,2,4,2,1,1,1,0.47837
1,2,2,2,1,1,4,1.10789
1,1,1,1,3,5,2,-0.19219
2,2,4,2,2,1,3,1.18462
1,1,3,2,1,1,3,1.28009
1,1,3,2,1,1,5,0.49295
2,2,3,2,1,1,3,1.18581
1,2,3,2,3,1,3,1.58372
1,1,3,2,1,1,1,1.62719
1,2,2,2,3,1,2,1.36422
2,2,0,2,2,2,2,1.60141
2,1,3,2,1,1,3,1.27728
2,0,3,2,1,1,2,1.12508
1,2,0,1,3,1,3,2.03645
1,2,2,2,1,1,3,1.18631
1,2,3,2,1,1,5,1.75403
1,2,1,2,3,3,1,1.38664
1,1,3,2,1,1,2,0.90418
2,1,3,2,2,1,2,1.28749
2,2,4,2,1,1,2,1.33724
2,1,2,2,5,1,5,1.23937
2,2,3,1,5,1,3,1.42637
2,2,3,2,1,1,3,1.24402
2,2,3,2,5,1,5,2.03645
2,1,3,2,5,1,5,1.89292
1,2,4,2,3,2,2,1.28323
2,1,5,2,1,1,3,-2.39152
2,1,3,2,1,1,4,-2.84009
2,2,3,2,1,1,4,-1.7179
1,2,3,2,1,1,5,-2.85739
1,1,1,1,8,1,1,-2.08817
1,1,0,1,5,2,4,-2.55946
1,1,1,2,8,1,3,-1.82441
1,2,2,2,3,1,4,-2.76086
1,2,1,2,1,1,5,-2.11346
2,2,3,2,2,1,5,-2.56876
1,2,2,2,1,1,5,-3.26407
2,2,4,2,1,1,1,-2.36918
2,1,1,2,1,4,1,-2.31182
1,2,4,2,1,1,5,-2.13619
1,2,1,2,3,1,2,-0.36465
1,1,1,2,3,4,1,1.45298
1,2,1,2,3,4,1,0.68877
1,2,1,2,3,1,5,0.45331
1,1,1,2,3,2,1,-0.7191
1,1,1,2,8,1,3,-0.08239
1,2,1,2,8,2,2,0.24929
1,2,1,2,3,1,3,0.79308
1,2,1,2,3,1,5,-0.32465
1,1,1,2,3,1,3,-1.10127
1,2,1,2,3,1,4,0.90145
1,1,1,2,3,1,3,0.36125
1,1,1,2,3,1,5,-1.27326
1,2,1,2,3,4,0,-1.15059
1,1,1,2,3,1,1,-1.66277
1,2,1,2,3,1,3,1.17134
1,2,1,2,3,1,3,-0.10228
